country,alcohol_type,alcohol_name,company,alcohol_degree,type,description,location,website,year,file
"France","Cider","Cidre Dupont Réserve","Domaine Familial Louis Dupont","7","NA","NA","Victot-Pontfol","http://www.calvados-dupont.fr/","NA","Dupont.JPG"
"France","Beer","La Bavaisienne Ambrée","Theillier","7","Bière de Garde","NA","Bavay","NA","NA","Bavaisienne.jpg"
"France","Beer","Mont Salève Tzarine","Mont Salève","9","Imperial Stout","NA","Neydens","http://labrasseriedumontsaleve.com/","NA","Saleve.jpg"
"France","Beer","Lancelot XI.I","Lancelot","11,1","Barley Wine","NA","Le Roc-Saint-André","http://www.brasserie-lancelot.com/","1990","Lancelot.jpg"
"France","Champagne","Rosé","Christian Senez","12","NA","NA","Fontette","http://www.champagne-senez.com/index.php","NA","Senez.jpg"
"France","Champagne","Carte d'Or","Drappier","12","NA","NA","Urville","http://www.champagne-drappier.com/en/champagne-drappier","1808","Drappier.jpg"
"France","Liquor","Myrte","Mavela","24","NA","NA","Aleria","http://www.domaine-mavela.com/","NA","Mavela.jpg"
"France","Pastis","Pontarlier-Anis, Ponsec","Armand Guy","45","NA","NA","Pontarlier","http://www.pontarlier-anis.com/fr/","NA","Ponsec.jpeg"
"France","Brandy","Cognac – Très Vieux","Cognac Jean Fillioux","40","NA","NA","Juillac-le-Coq","http://www.cognac-jeanfillioux.com/en/","1880","JeanFil.jpg"
"France","Brandy","Armagnac De Montal","De Montal","40","NA","NA","Nogaro","http://www.de-montal.com/en/","NA","DeMontal.jpg"
"French Guiana","Beer","Jeune Gueule Weïti","Brasserie Guyanaise","5","Belgian White","NA","Matoury","http://www.jeunegueule.com/","NA","JeuneGueule.jpg"
"French Guiana","Rum","Cœur de chauffe","Reimonenq","50","NA","NA","Sainte-Rose","http://musee-du-rhum.fr/distillery.php","NA","CoeurDeChauffe.jpg"
"French Polynesia","Beer","Hinano Ambrée","La Brasserie de Tahiti","5","Amber Lager","NA","Papeete","http://www.brasseriedetahiti.pf/","NA","Hinano.jpg"
"French Polynesia","Beer","Tabu","La Brasserie de Tahiti","5","Pale Lager","NA","Papeete","http://www.brasseriedetahiti.pf/","NA","Tabu.jpg"
"Georgia","Brandy","Chaca","Binekhi Estragon","40","NA","Chacha is a Georgian pomace brandy, a clear and strong, which is sometimes called ""vine vodka"", ""grape vodka"", or ""Georgian vodka/grappa""","Tbilissi","http://www.binekhi.ge/index.php?pg=prod&id=&lang_id=2&p_id=11","NA","Chacha.jpeg"
"Germany","Schnapps","Underberg","Underberg AG","44","NA","NA","Rheinberg","https://www.underberg.com/en/home.html","1846","Underberg.jpg"
"Greece","Ouzo","Plomari","Plomari Ouzo Distillery Isidoros Arvanitis","40","NA","Anise-flavoured aperitif ","Plomari","http://www.ouzoplomari.gr/site_en/index.php","1894","Plomari.jpg"
"Grenada","Rum","Royal Grenadian Rum","River Antoine","75","NA","NA","River Antoine","NA","NA","RiverAntoine.jpg"
